+-----------+-------+
|    CID    | Value |
| 537039456 |  423  |
| 537048154 |  423  |
| 537046909 |  422  |
| 537045212 |  422  |
| 537037233 |  422  |
| 537045650 |  422  |
| 537037629 |  422  |
| 537046339 |  422  |
| 537040656 |  422  |
| 537044121 |  421  |
| 537031480 |  421  |
| 537033445 |  421  |
| 537034307 |  421  |
| 537037076 |  420  |
| 537030447 |  420  |
| 537043735 |  419  |
| 537045302 |  419  |
| 537037633 |  419  |
| 537037780 |  419  |
| 537047551 |  419  |
| 537049238 |  419  |
| 537042191 |  419  |
| 537036111 |  418  |
| 537036239 |  418  |
| 537039672 |  418  |
| 537037681 |  418  |
| 537040519 |  417  |
| 537038079 |  417  |
| 537049403 |  417  |
| 537041585 |  416  |
| 537047828 |  416  |
| 537048104 |  416  |
| 537032920 |  416  |
| 537041409 |  416  |
| 537050043 |  416  |
| 537034431 |  416  |
| 538247272 |  415  |
| 537044583 |  415  |
| 537037247 |  415  |
| 537038954 |  415  |
| 537030893 |  415  |
| 537042672 |  414  |
| 537037494 |  414  |
| 537030823 |  414  |
| 537039149 |  414  |
| 537048727 |  414  |
| 537048037 |  413  |
| 538247346 |  412  |
| 537032071 |  412  |
| 537035968 |  412  |
| 537049325 |  412  |
| 537035961 |  411  |
| 537038379 |  411  |
| 537031953 |  411  |
| 537033644 |  411  |
| 537050442 |  411  |
| 537050533 |  411  |
| 537034736 |  411  |
| 537035662 |  410  |
| 537037126 |  410  |
| 537038326 |  410  |
| 537035297 |  409  |
| 537037517 |  409  |
| 537032539 |  409  |
| 537038714 |  409  |
| 537040071 |  409  |
| 537034379 |  409  |
| 537043785 |  408  |
| 537047806 |  408  |
| 537042343 |  408  |
| 537046493 |  407  |
| 537049118 |  407  |
| 537043728 |  406  |
| 537045004 |  406  |
| 537036539 |  406  |
| 537037360 |  406  |
| 537045916 |  406  |
| 537039427 |  406  |
| 537038830 |  406  |
| 537040218 |  405  |
| 537035389 |  405  |
| 537036828 |  405  |
| 537037095 |  405  |
| 537037227 |  405  |
| 537030383 |  405  |
| 537044734 |  404  |
| 537049027 |  404  |
| 537031062 |  404  |
| 537042071 |  404  |
| 537050801 |  404  |
| 537043368 |  403  |
| 537047395 |  403  |
| 537049590 |  403  |
